stream_nam,latitude,longitude,res
13-001-11.20I,41.41324,-81.87898,Rocky River Reservation
13-001-12.00I,41.40704,-81.89347,Rocky River Reservation
13-001-3.56II,41.46367,-81.83701,Rocky River Reservation
13-001-5.66I,41.45441,-81.82197,Rocky River Reservation
13-001-8.09II,41.43933,-81.84241,Rocky River Reservation
13-003-0.50I,41.4885,-81.93234,Huntington Reservation
13-004-5.70,41.41545,-81.94971,Bradley Woods Reservation
13-100-1.81II,41.3921,-81.881,Rocky River Reservation
13-100-10.29II,41.31973,-81.81455,Mill Stream Run Reservation
13-100-10.60II,41.31959,-81.81129,Mill Stream Run Reservation
13-100-11.10III,41.31948,-81.80067,Mill Stream Run Reservation
13-100-11.20III,41.30663,-81.8064,Mill Stream Run Reservation
13-100-11.20III-1II,41.29728,-81.80625,Mill Stream Run Reservation
13-100-11.20III-2II,41.29796,-81.80678,Mill Stream Run Reservation
13-100-11.59III,41.31312,-81.79323,Mill Stream Run Reservation
13-100-12.35II,41.30935,-81.79189,Mill Stream Run Reservation
13-100-12.88III,41.29992,-81.78928,Mill Stream Run Reservation
13-100-12.88III-2I,41.29972,-81.7891,Mill Stream Run Reservation
13-100-12.88III-3II,41.29632,-81.79485,Mill Stream Run Reservation
13-100-12.88III-7I,41.29508,-81.79432,Mill Stream Run Reservation
13-100-12.92II,41.30977,-81.78296,Mill Stream Run Reservation
13-100-13.23II,41.30186,-81.78204,Mill Stream Run Reservation
13-100-13.37II,41.30055,-81.77981,Mill Stream Run Reservation
13-100-13.57III,41.30306,-81.77194,Mill Stream Run Reservation
13-100-13.57III-1II,41.3036,-81.76136,Brecksville Reservation
13-100-13.89III,41.29679,-81.77369,Mill Stream Run Reservation
13-100-14.46III,41.2962,-81.76765,Mill Stream Run Reservation
13-100-14.58III,41.29609,-81.7646,Mill Stream Run Reservation
13-100-15.24I,41.29446,-81.75781,Mill Stream Run Reservation
13-100-15.25III-6I,41.30297,-81.7443,Brecksville Reservation
13-100-16.27II,41.28381,-81.75454,Mill Stream Run Reservation
13-100-2.25I,41.388,-81.87418,Rocky River Reservation
13-100-22.88IV,41.22394,-81.72292,Hinckley Reservation
13-100-22.88IV-1III,41.21959,-81.72491,Hinckley Reservation
13-100-22.88IV-2III,41.2206,-81.72848,Hinckley Reservation
13-100-23.46II,41.22007,-81.72046,Hinckley Reservation
13-100-23.70III,41.21587,-81.7207,Hinckley Reservation
13-100-23.72IV-1III,41.21011,-81.71849,Hinckley Reservation
13-100-23.72IV-3III,41.20972,-81.73021,Hinckley Reservation
13-100-23.72IV-5II,41.20859,-81.72847,Hinckley Reservation
13-100-23.72IV-6II,41.20805,-81.72875,Hinckley Reservation
13-100-23.72IV-7II,41.20939,-81.73039,Hinckley Reservation
13-100-24.19III,41.21946,-81.70572,Hinckley Reservation
13-100-24.19III-11I,41.2227,-81.70428,Hinckley Reservation
13-100-24.19III-12I,41.21927,-81.70532,Hinckley Reservation
13-100-24.19III-2II,41.22082,-81.70461,Hinckley Reservation
13-100-24.19III-8I,41.22618,-81.70188,Hinckley Reservation
13-100-24.35II-1I,41.21755,-81.70271,Hinckley Reservation
13-100-24.50II,41.21557,-81.7024,Hinckley Reservation
13-100-24.71III,41.21069,-81.71982,Hinckley Reservation
13-100-24.71III-2II,41.20729,-81.71533,Hinckley Reservation
13-100-24.71III-6I,41.20487,-81.71632,Hinckley Reservation
13-100-24.71III-7I,41.20507,-81.71679,Hinckley Reservation
13-100-24.71III-9I,41.20589,-81.7177,Hinckley Reservation
13-100-24.84IV,41.20959,-81.70225,Hinckley Reservation
13-100-24.84IV-16I,41.20334,-81.71462,Hinckley Reservation
13-100-24.84IV-18I,41.20434,-81.715,Hinckley Reservation
13-100-24.84IV-2II,41.1981371,-81.7032977,
