gid,stream_name,reservation,site_number,river_basin,river_code,drainage_area(mi2),survey_reach(ft),latitude,longitude,river_mile,date,scorers,comments,stream_channel_mod,substrate_metric_total,percent_best_types,substrate_metric_a,substrate1,substrate2,per_boulder_slabs,per_boulder_256mm,per_bedrock,per_cobble,per_gravel,per_sand,per_silt,per_leaf_woody,per_detritus,per_clay_hardpan,per_muck,per_artificial,substrate_metric_b,pool_metric_total,pool_depth_(cm),bankfull_metric_total,average_bankfull_(m),riparian_width_left,riparian_width_right,floodplain_quality_left,floodplain_quality_right,flow_regime,sinuosity,stream_gradient,qhei_done,designated_use,watershed,usgs_quad,soil_map_page,soil_map_order,county,city_twp_name,base_flow,date_last_rain,amt_last_rain,turbid,%_canopy_open,water_sample,temp,dissolved_oxygen_mgl,ph,conductivity,reach_representative,fish_observed,fish_sample_method,fish_time_collecting_minutes,frogs_tadpoles_observed,salamanders_observed,salamander_sample_method,salamander_time_collecting_minutes,aquatic_macros_observed,macro_time_collecting_minutes,macro_vouchers_collected,macro_comments,mountain_dusky_larvae,mountain_dusky_juveniles,mountain_dusky_adults,northern_dusky_larvae,northern_dusky_juveniles,northern_dusky_adults,two_lined_larvae,two_lined_juveniles,two_lined_adults,long_tailed_larvae,long_tailed_juveniles,long_tailed_adults,northern_red_larvae,northern_red_juveniles,northern_red_adults,mole_larvae,mole_juveniles,mole_adults,four_toed_larvae,four_toed_juveniles,four_toed_adults,red_backed_juveniles,red_backed_adults,slimy_juveniles,slimy_adults,blacknose_dace,bluegill_sunfish,bluntnose_minnow,brindled_madtom,brook_stickleback,brook_trout,brown_trout,central_mudminnow,central_stoneroller_minnow,common_shiner,creek_chub,eastern_sand_darter,fantail_darter,fathead_minnow,golden_shiner,goldfish,grass_pickerel,greenside_darter,green_sunfish,johnny_darter,largemouth_bass,longear_sunfish,longnose_dace,mottled_sculpin,northern_hog_sucker,pumpkinseed_sunfish,rainbow_darter,rainbow_trout,redbelly_dace,redside_dace,river_chub,silverjaw_minnow,smallmouth_bass,spotfin_shiner,stonecat_madtom,striped_shiner,trout_perch,warmouth_sunfish,white_sucker,yellow_bullhead_catfish,unidentified_fish_fry,sessile_animals,aquatic_worms,sow_bugs,scuds,water_mites,damselfly_nymphs,alderfly_larvae,other_beetles,crayfish,dragonfly_nymphs,riffle_beetles,other_flies,midges,snails,clams,fishfly_larvae,water_penny_beetles,cranefly_larvae,ameletidae,arthropleidae,baetidae,baetiscidae,caenidae,ephemerellidae,ephemeridae,heptageniidae,isonychiidae,leptohyphidae,leptophlebiidae,polymitarcyidae,potamanthidae,pseudironidae,siphlonuridae,capniidae,chloroperlidae,leuctridae,nemouridae,peltoperlidae,perlidae,perlodidae,pteronarcyidae,taeniopterygidae,brachycentridae,dipseuodopsidae,glossosomatidae,goeridae,helicopsychidae,hydropsychidae,hydroptilidae,lepidostomatidae,leptoceridae,limnephilidae,molannidae,odontoceridae,philopotamidae,phryganeidae,polycentropodidae,psychomiidae,rhyacophilidae,uenoidae,total_mayfly,total_stonefly,total_caddisfly,total_ept,hhei_score,hmfei_score,hmfei_narrative
"1",13-004-5.70,Bradley Woods,"1","13","4",1.19,200,41.41545,-81.94971,5.7,2009/07/21,"CW, NM",,recent or no recovery,"8",1,"3",silt,clay or hardpan,0,1,0,0,0,0,50,4,0,25,20,0,"5","0",0,"30",4.74,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,"0",flat,no,WWH,Cahoon Creek,North Olmsted,"27","1",Cuyahoga,Westlake,yes,2009/07/18,0.15,no,18,no,,,,,yes,no,,0,no,no,visual,"5",no,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38","0",Class I/Ephemeral
"2",13-004-5.70,Bradley Woods,"1","13","4",1.19,200,41.41991,-81.94697,5.7,2016/06/08,"CW, SW, ES",,recovering,"23",11,"15",sand,gravel,0,5,1,5,21,50,10,1,1,5,1,0,"8","30",23,"25",3.7,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"1.5",moderate,no,WWH,Cahoon Creek,North Olmsted,"27","1",Cuyahoga,Westlake,yes,2016/06/06,0.02,no,18,no,,,,,no,no,visual and dip net,5,no,yes,visual and dip net,"10",yes,"20",,,,,,,,,,,,,,,,,,,,,,,,"2","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,very abundant,very abundant,common,,,rare,common,,,rare,common,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78","10",Class II/Warm Water
"3",13-004-5.70,Bradley Woods,"1","13","4",1.19,200,41.42002,-81.94691,5.7,2018/05/29,"CW, OL, VR, MW",,recovered,"23",9,"15",sand,gravel,0,5,1,3,25,30,10,1,0,23,0,0,"8","30",23,"20",1.9,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"1",flat to moderate,no,WWH,Cahoon Creek,North Olmsted,"27","1",Cuyahoga,Westlake,yes,2018/05/26,0.07,no,15,no,,,,,no,no,visual and dip net,10,yes,no,visual and dip net,"10",yes,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,abundant,very abundant,,,,,rare,rare,,rare,common,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,,,,,,,,"1","1","73","13",Class II/Warm Water
"4",13-004-5.30I,Andreano Property,,"13","4",1.36,200,41.42196,-81.9455,5.3,2014/09/10,"CW, OL, JM",,recovered,"14",1,"6",silt,silt,0,1,0,0,4,3,62,12,5,10,3,0,"8","30",30,"25",3.8,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"0.5",flat,no,WWH,Cahoon Creek,North Olmsted,"28","1",Cuyahoga,Westlake,yes,2014/09/06,0.29,no,21,no,19.3,,7.65,0.501,yes,no,visual and dip net,10,yes,no,visual and dip net,"10",yes,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,abundant,common,,,,,,rare,,common,common,common,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,,,,,"1","1","69","12",Class II/Warm Water
"5",13-003-0.50I,Huntington,"1","13","3",0.25,200,41.4885,-81.93234,0.5,2016/06/08,"CW, SW, ES",,none/natural channel,"22",7,"15",gravel,sand,0,0,0,7,37,25,2,10,3,16,0,0,"7","20",45.7,"25",3.4,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"1.5",moderate to severe,no,WWH,Porter Creek,North Olmsted,"11","1",Cuyahoga,Bay Village,yes,2016/06/06,0.02,no,24,no,,,,,yes,no,visual and dip net,10,no,no,visual and dip net,"10",yes,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very abundant,very abundant,rare,,rare,,,,,,rare,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67","6",Class I/Ephemeral
"6",13-003-0.5I,Huntington,"1","13","3",0.25,200,41.48823,-81.93232,0.5,2007/06/12,"DG, CW",,none/natural channel,"28",35,"21",gravel,cobble,5,10,0,20,30,0,15,15,5,0,0,0,"7","30",29,"25",3.8,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"3",moderate,no,WWH,Porter Creek,North Olmsted,"11","1",Cuyahoga,Bay Village,yes,2007/06/08,0.16,no,15,no,,,,,yes,no,visual,10,no,no,"visual, dip net and seine","30",yes,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,very abundant,common,,,,,,rare,,common,abundant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83","7",Class II/Warm Water
"7",13-003-0.5I,Huntington,"1","13","3",0.25,200,41.48823,-81.93232,0.5,2007/09/25,"DG, CW",,none/natural channel,"28",40,"21",cobble,gravel,13,0,0,27,21,13,6,10,0,10,0,0,"7","20",35,"20",2.6,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"2",moderate,no,WWH,Porter Creek,North Olmsted,"11","1",Cuyahoga,Bay Village,yes,2007/09/25,0.1,no,15,no,19.7,8.6,7.16,0.462,yes,no,visual,5,no,no,visual and dip net,"15",yes,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,very abundant,rare,very abundant,rare,rare,rare,,,,rare,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,,,,,,,,,,,,,"1","1","68","12",Class II/Warm Water
"8",13-003-0.50I,Huntington,"1","13","3",0.25,200,41.48862,-81.9323,0.5,2018/05/29,"CW, OL, VR, MW",,none/natural channel,"23",14,"15",gravel,sand,0,1,0,13,35,20,5,10,0,15,1,0,"8","20",36,"20",2.3,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"1.5",moderate,no,WWH,Porter Creek,North Olmsted,"11","1",Cuyahoga,Bay Village,yes,2018/05/26,0.07,no,20,no,,,,,yes,no,visual and dip net,10,no,no,visual and dip net,"10",yes,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very abundant,very abundant,,,,,,,rare,,common,abundant,,,,,,,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"1","63","9",Class II/Warm Water
"9",13-001-12.00I,Rocky River,"33","13","1",,200,41.40704,-81.89347,12,2018/05/31,"CW, OL, VR, MW",,none/natural channel,"33",64,"25",bedrock,gravel,0,1,58,5,18,10,1,2,0,5,0,0,"8","25",12.2,"15",1.4,wide,moderate,mature forest or wetland,mature forest or wetland,stream flowing,"2",severe,no,WWH,Main Branch Rocky River,North Olmsted,"36","0",Cuyahoga,North Olmsted,yes,2018/05/30,0.01,no,15,no,,,,,yes,no,,,no,no,visual and dip net,"5",yes,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,,,,,rare,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63","3",Class I/Ephemeral
"10",13-001-12.00I,Rocky River,"33","13","1",,200,41.40718,-81.89346,12,2013/05/21,"CW, JK",,none/natural channel,"22",20,"15",gravel,sand,0,3,13,4,40,30,1,9,0,0,0,0,"7","30",24,"20",1.56,wide,wide,mature forest or wetland,mature forest or wetland,interstitial,"2",moderate to severe,no,WWH,Main Branch Rocky River,North Olmsted,"36","0",Cuyahoga,North Olmsted,yes,2013/05/15,0.02,no,16,no,18.4,2.88,7.28,0.295,yes,no,,0,no,yes,visual and dip net,"5",yes,"15",,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,,,,,,,,,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72","4",Class I/Ephemeral
