Process,Taxon,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS
Occupancy,other_flies,Intercept,4.1031,0.827,2.9471,4.0063,5.589,1.0066,829
Occupancy,central_stoneroller_minnow,Intercept,-0.691,2.5102,-4.5264,-0.8637,3.7034,1.009,171
Occupancy,johnny_darter,Intercept,-0.6504,2.3436,-4.3072,-0.7717,3.1633,1.0851,178
Occupancy,mtdusky,Intercept,-0.6579,1.0234,-2.0201,-0.808,1.1698,1.0091,629
Occupancy,nodusky,Intercept,0.5284,1.0638,-0.8182,0.3398,2.5765,1.0074,612
Occupancy,twolined,Intercept,1.4062,0.4182,0.7739,1.3856,2.1256,0.9992,1500
Occupancy,red,Intercept,-0.1128,2.1583,-3.1106,-0.4436,3.9503,1.0283,187
Occupancy,redback,Intercept,2.5642,1.5089,0.6339,2.2991,5.4493,1.0382,464
Occupancy,slimy,Intercept,0.1678,2.3499,-3.467,0.1339,4.1004,1.119,214
Occupancy,blacknose_dace,Intercept,0.0096,1.997,-3.1115,-0.0376,3.3517,1.0519,262
Occupancy,creek_chub,Intercept,1.7217,1.7175,-0.8567,1.6299,4.6102,1.009,335
Occupancy,rainbow_darter,Intercept,-0.1799,2.4582,-3.9253,-0.2936,3.9717,1.0187,216
Occupancy,rainbow_trout,Intercept,-0.4341,2.5319,-4.4045,-0.4544,3.7634,1.0937,130
Occupancy,white_sucker,Intercept,-0.7777,2.3721,-4.2167,-1.0833,3.3728,1.0099,209
Occupancy,aquatic_worms,Intercept,2.2671,0.6934,1.3264,2.1932,3.4958,1.0015,1313
Occupancy,sow_bugs,Intercept,0.3448,1.1939,-1.1821,0.1376,2.6009,1.0045,489
Occupancy,scuds,Intercept,2.2493,1.5176,0.0946,2.0681,5.0037,1.019,444
Occupancy,water_mites,Intercept,0.1676,1.0236,-1.0536,-0.0002,2.0486,1.007,386
Occupancy,damselfly_nymphs,Intercept,0.942,1.0161,-0.4167,0.8093,2.8162,1.0477,780
Occupancy,alderfly_larvae,Intercept,-0.3476,1.0101,-1.5326,-0.5169,1.403,1.0106,633
Occupancy,other_beetles,Intercept,1.9045,1.1994,0.3743,1.6822,4.1017,1.0097,692
Occupancy,crayfish,Intercept,3.1363,1.3548,1.308,2.928,5.5588,1.0166,736
Occupancy,dragonfly_nymphs,Intercept,2.1844,1.3249,0.4595,1.9612,4.7264,1.0054,587
Occupancy,riffle_beetles,Intercept,0.4611,0.4841,-0.2425,0.3981,1.3574,1.013,1553
Occupancy,midges,Intercept,3.522,0.7983,2.4236,3.4069,5.0055,1.0118,958
Occupancy,snails,Intercept,3.0455,1.421,1.125,2.8384,5.5491,1.0326,556
Occupancy,clams,Intercept,2.1831,1.7426,-0.4045,2.0652,5.1863,1.0103,378
Occupancy,fishfly_larvae,Intercept,2.4204,1.7012,-0.1067,2.3386,5.4852,1.0053,539
Occupancy,water_penny_beetles,Intercept,-0.5887,1.4732,-2.4139,-0.8786,2.2196,1.036,312
Occupancy,cranefly_larvae,Intercept,3.8971,1.0217,2.4444,3.7963,5.7701,1.0273,842
Occupancy,baetidae,Intercept,1.7717,0.5593,0.9829,1.6922,2.8147,1.0071,1383
Occupancy,caenidae,Intercept,1.4184,2.2485,-2.3197,1.4731,5.0462,1.0739,234
Occupancy,heptageniidae,Intercept,1.4988,1.7909,-1.2682,1.4567,4.6063,1.0485,375
Occupancy,leptophlebiidae,Intercept,1.5556,1.559,-0.3397,1.1995,4.5324,1.01,405
Occupancy,chloroperlidae,Intercept,0.0703,2.2001,-3.18,-0.1405,3.9899,1.1265,182
Occupancy,leuctridae,Intercept,0.9985,0.5779,0.2608,0.915,2.1311,1.0021,1276
