Process,Taxon,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS
Occupancy,midges,Intercept,3.4305,0.7328,2.421,3.3218,4.769,1.0168,898
Occupancy,mole,Intercept,-0.9141,2.1544,-4.2745,-1.006,2.7155,1.0346,266
Occupancy,mtdusky,Intercept,-0.5559,2.032,-3.7058,-0.7405,2.925,1.0201,244
Occupancy,nodusky,Intercept,-1.1656,0.7407,-2.0921,-1.303,0.2186,1.0317,859
Occupancy,twolined,Intercept,1.3605,0.4416,0.7524,1.318,2.1838,1.0094,1323
Occupancy,longtail,Intercept,-0.3203,2.046,-3.6954,-0.3148,2.9343,1.0933,202
Occupancy,red,Intercept,0.058,2.0526,-3.1977,0.0237,3.545,1.0024,247
Occupancy,redback,Intercept,0.4503,1.7004,-1.6492,0.1143,3.8209,1.0397,260
Occupancy,blacknose_dace,Intercept,-0.4218,1.9581,-3.456,-0.5587,2.9541,1.0142,199
Occupancy,bluegill_sunfish,Intercept,-0.8175,2.0668,-4.126,-0.8925,2.6069,1.0221,227
Occupancy,creek_chub,Intercept,-1.1334,1.8271,-3.6193,-1.3903,2.372,1.0731,244
Occupancy,johnny_darter,Intercept,-0.5768,1.9522,-3.4964,-0.722,2.8184,1.0041,237
Occupancy,sessile_animals,Intercept,-0.2235,2.1487,-3.6084,-0.2423,3.3007,1.004,179
Occupancy,aquatic_worms,Intercept,1.7817,0.8252,0.721,1.6459,3.3269,1.026,888
Occupancy,sow_bugs,Intercept,0.4973,0.9888,-0.9194,0.4111,2.2031,1.016,605
Occupancy,scuds,Intercept,1.8179,1.5236,-0.5366,1.7363,4.4709,1.0331,446
Occupancy,water_mites,Intercept,1.445,1.5577,-1.0662,1.3688,4.1877,1.0346,398
Occupancy,damselfly_nymphs,Intercept,1.2907,0.952,0.009,1.1671,3.0183,1.0351,757
Occupancy,alderfly_larvae,Intercept,0.3165,0.7438,-0.7542,0.253,1.6345,1.0344,942
Occupancy,other_beetles,Intercept,2.0062,1.3707,0.2321,1.7652,4.5287,1.0195,402
Occupancy,crayfish,Intercept,0.1572,0.2896,-0.2461,0.118,0.6886,1.0007,1500
Occupancy,dragonfly_nymphs,Intercept,0.8743,0.7287,-0.0639,0.7606,2.1734,1.0048,1049
Occupancy,riffle_beetles,Intercept,0.6886,0.651,-0.1824,0.582,1.8822,1.0003,1054
Occupancy,other_flies,Intercept,3.5959,0.9208,2.375,3.4516,5.2258,1.0149,862
Occupancy,snails,Intercept,1.4931,0.8473,0.2875,1.4126,3.0301,1.0255,966
Occupancy,clams,Intercept,0.0041,1.7847,-2.6538,-0.0503,3.0302,1.0345,229
